,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
9500,Hanoi University of Business and Technology - HUBT,hanoi university of business and technology hubt,hanoi university of business and technology hubt,Luật Kinh tế,luat kinh te,luat kinh te
9501,Trường Đại học Kinh doanh và Công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Chuyên ngành,chuyen nganh,chuyen nganh
9502,Đại học Ngoại ngữ - Đại Học Quốc Gia Hà Nội,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,Sư phạm tiếng Anh,su pham tieng anh,su pham tieng anh
9503,cao đẳng nghề kinh tế kỹ thuật số 1,cao dang nghe kinh te ky thuat so 1,cao dang nghe kinh te ky thuat so 1,cơ khí động lực,co khi dong luc,ky thuat co khi dong luc
9504,truong trung cap y duoc Le huu Trac,trung cap y duoc le huu trac,trung cap y duoc le huu trac,y si y hoc co truyen,y si y hoc co truyen,y hoc co truyen
9505,Cao đẳng nghề du lịch sài gon,cao dang nghe du lich sai gon,cao dang nghe du lich sai gon,Quản trị nhà hàng khách sạn,quan tri nha hang khach san,quan tri khach san
9506,DH thu dau mot,dai hoc thu dau mot,dai hoc thu dau mot,Sư phạm Hóa học,su pham hoa hoc,su pham hoa hoc
9507,Đại Học Hoa Sen,dai hoc hoa sen,dai hoc hoa sen,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9508,cao đang thành phô long xuyen,cao dang long xuyen,cao dang long xuyen,sưa xe,sua xe,CannotFound
9509,Trường Trung Cấp Công Nghệ Lương Thực Thực Phẩm (HFTC),trung cap cong nghe luong thuc thuc pham,trung cap cong nghe luong thuc thuc pham,Kinh tế - Quản trị kinh doanh,kinh te quan tri kinh doanh,quan tri kinh doanh
9510,đại học công nghệ sài gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,thiết kế nội thất,thiet ke noi that,thiet ke noi that
9511,Trường Cao Đẳng Nghề CNTT iSpace,cao dang nghe cong nghe thong tin ispace,cao dang nghe cong nghe thong tin ispace,Thiết kế đồ họa,thiet ke do hoa,thiet ke do hoa
9512,Hawassa University,hawassa university,hawassa university,Học Viện Hàng Không-> ăn hàng + ở ko,hoc vien hang khong > an hang + o ko,CannotFound
9513,trường THCS An Lộc B,trung hoc co so an loc b,trung hoc co so an loc b,giỏi môn toán,gioi mon toan,CannotFound
9514,cao đẳng công nghệ và thương mại Hà Nội,cao dang cong nghe thuong mai ha noi,cao dang cong nghe thuong mai ha noi,công tác xã hội,cong tac xa hoi,cong tac xa hoi
9515,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,dai hoc su pham hcm,dai hoc su pham hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9516,thpt trung phú,trung hoc pho thong trung phu,trung hoc pho thong trung phu,cấp 3,cap 3,CannotFound
9517,Đại Học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Chuyên ngành,chuyen nganh,chuyen nganh
9518,thph dien chau 5,thph dien chau 5,thph dien chau 5,cap 3,cap 3,CannotFound
9519,quân y 2,quan y 2,quan y 2,Y sĩ,y si,CannotFound
